Regio's;Oppervlakteklasse;Perioden;Beginstand woningvoorraad (aantal)
Amsterdam;75 tot 100 m²;2018;105893
Amsterdam;100 tot 150 m²;2018;56523
Amsterdam;150 tot 250 m²;2018;13166
Amsterdam;250 tot 500 m²;2018;2272
Rotterdam;75 tot 100 m²;2018;101602
Rotterdam;100 tot 150 m²;2018;71218
Rotterdam;150 tot 250 m²;2018;15482
Rotterdam;250 tot 500 m²;2018;2216
's-Gravenhage (gemeente);75 tot 100 m²;2018;70941
's-Gravenhage (gemeente);100 tot 150 m²;2018;56836
's-Gravenhage (gemeente);150 tot 250 m²;2018;20641
's-Gravenhage (gemeente);250 tot 500 m²;2018;4229
Utrecht (gemeente);75 tot 100 m²;2018;48914
Utrecht (gemeente);100 tot 150 m²;2018;46314
Utrecht (gemeente);150 tot 250 m²;2018;9282
Utrecht (gemeente);250 tot 500 m²;2018;1613
